"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"403","CZ28237978",1,0,0,0
"404","CZ25014111",3,0,0,0
"405","CZ25524241",7,0,0.001,0.05
"406","CZ25151541",4,0,0.001,0.05
"407","CZ46900918",8,0,0.001,0.05
"408","CZ48393835",5,0,0.001,0.05
"409","CZ25593161",3,0,0.001,0.05
"410","CZ00020478",157,0,0.015,0.75
"411","CZ25335545",17,0,0.002,0.1
"412","CZ64651151",1,0,0,0
"413","CZ46683046",1,0,0,0
"414","CZ48150347",3,0,0,0
"415","CZ27736962",1,0,0,0
"416","CZ00297534",4,0,0.001,0.05
"417","CZ41601645",3,0,0,0
"418","CZ44961219",2,0,0,0
"419","CZ00843989",7,0,0.002,0.1
"420","CZ42864771",1,0,0,0
"421","CZ45788677",3,0,0,0
"422","CZ10084673",3,0,0,0
"423","CZ62300652",2,0,0,0
"424","CZ60793716",2,0,0,0
"425","CZ25018094",4,0,0,0
"426","CZ26966212",1,0,0,0
"427","CZ00254657",6,0,0.001,0.05
"428","CZ26958635",2,0,0,0
"429","CZ42340802",3,0,0,0
"430","CZ14705877",4,0,0,0
"431","CZ25008196",4,0,0.001,0.05
"432","CZ45474281",6,0,0.001,0.05
"433","CZ28455401",1,0,0,0
"434","CZ40765903",1,0,0,0
"435","CZ46678298",6,0,0.001,0.05
"436","CZ26285932",1,0,0,0
"437","CZ70890013",19,0,0.002,0.1
"438","CZ00299308",24,0,0.004,0.2
"439","CZ27800466",4,0,0.001,0.05
"440","CZ46679189",1,0,0,0
"441","CZ47052121",2,0,0,0
"442","CZ25896873",4,0,0.001,0.05
"443","CZ47239701",3,0,0,0
"444","CZ26856140",1,0,0,0
"445","CZ00575381",6,0,0.001,0.05
"446","CZ26018055",7,0,0.001,0.05
"447","CZ00006947",23,0,0.003,0.15
"448","CZ15890465",1,0,0,0
"449","CZ25692810",7,0,0.001,0.05
"450","CZ25508571",2,0,0,0
"451","CZ45357307",11,0,0.001,0.05
"452","CZ44961367",6,0,0.001,0.05
"453","CZ47239328",18,0,0.002,0.1
"454","CZ27713130",1,0,0,0
"455","CZ25297899",4,0,0,0
"456","CZ27083250",2,0,0,0
"457","CZ26071584",3,0,0,0
"458","CZ10609059",1,0,0,0
"459","CZ00261904",2,0,0,0
"460","CZ27449416",3,0,0,0
"461","CZ46992715",3,0,0.001,0.05
"462","CZ27713725",1,0,0,0
"463","CZ28317122",1,0,0,0
"464","CZ62743881",5,0,0.001,0.05
"465","CZ46345507",1,0,0,0
"466","CZ25597710",6,0,0.001,0.05
"467","CZ00297313",5,0,0.001,0.05
"468","CZ25396196",2,0,0.001,0.05
"469","CZ42228573",1,0,0,0
"470","CZ00204382",3,0,0.001,0.05
"471","CZ16355822",1,0,0,0
"472","CZ25864092",5,0,0.001,0.05
"473","CZ27127010",1,0,0,0
"474","CZ26058855",2,0,0,0
"475","CZ27677109",3,0,0,0
"476","CZ00583171",1,0,0,0
"477","CZ47536586",3,0,0.001,0.05
"478","CZ25733699",2,0,0,0
"479","CZ60609460",20,0,0.002,0.1
"480","CZ25357352",4,0,0,0
"481","CZ25869523",15,0,0.001,0.05
"482","CZ27336301",1,0,0,0
"483","CZ13690299",1,0,0,0
"484","CZ42196451",163,0,0.019,0.95
"485","CZ26068338",3,0,0,0
"486","CZ40525007",6,0,0.001,0.05
"487","CZ28580001",3,0,0,0
"488","CZ25019171",1,0,0,0
"489","CZ00081531",4,0,0,0
"490","CZ24296597",1,0,0,0
